date,R,trades,sample,cum_R
2021-06-13 00:00:00+00:00,3.491501,1,IS,3.491501
2021-06-14 00:00:00+00:00,0.0,0,IS,3.491501
2021-06-15 00:00:00+00:00,2.483463,2,IS,5.974964
2021-06-16 00:00:00+00:00,0.0,0,IS,5.974964
2021-06-17 00:00:00+00:00,0.0,0,IS,5.974964
2021-06-18 00:00:00+00:00,0.0,0,IS,5.974964
2021-06-19 00:00:00+00:00,2.485245,2,IS,8.460209
2021-06-20 00:00:00+00:00,-1.00769,1,IS,7.452518
2021-06-21 00:00:00+00:00,-1.00508,1,IS,6.447438
2021-06-22 00:00:00+00:00,2.491293,2,IS,8.938731
2021-06-23 00:00:00+00:00,0.0,0,IS,8.938731
2021-06-24 00:00:00+00:00,0.0,0,IS,8.938731
2021-06-25 00:00:00+00:00,-2.015028,2,IS,6.923703
2021-06-26 00:00:00+00:00,-2.010399,2,IS,4.913304
2021-06-27 00:00:00+00:00,0.0,0,IS,4.913304
2021-06-28 00:00:00+00:00,0.0,0,IS,4.913304
2021-06-29 00:00:00+00:00,3.493903,1,IS,8.407207
2021-06-30 00:00:00+00:00,-1.007449,1,IS,7.399758
2021-07-01 00:00:00+00:00,0.0,0,IS,7.399758
2021-07-02 00:00:00+00:00,0.0,0,IS,7.399758
2021-07-03 00:00:00+00:00,0.0,0,IS,7.399758
2021-07-04 00:00:00+00:00,0.0,0,IS,7.399758
2021-07-05 00:00:00+00:00,-3.034247,3,IS,4.365511
2021-07-06 00:00:00+00:00,-2.021136,2,IS,2.344375
2021-07-07 00:00:00+00:00,-1.009572,1,IS,1.334804
2021-07-08 00:00:00+00:00,1.472167,3,IS,2.806971
2021-07-09 00:00:00+00:00,0.0,0,IS,2.806971
2021-07-10 00:00:00+00:00,0.0,0,IS,2.806971
2021-07-11 00:00:00+00:00,-1.016114,1,IS,1.790856
2021-07-12 00:00:00+00:00,-2.030379,2,IS,-0.239523
2021-07-13 00:00:00+00:00,2.474008,2,IS,2.234485
2021-07-14 00:00:00+00:00,-1.010324,1,IS,1.22416
2021-07-15 00:00:00+00:00,0.0,0,IS,1.22416
2021-07-16 00:00:00+00:00,-1.011619,1,IS,0.212541
2021-07-17 00:00:00+00:00,0.0,0,IS,0.212541
2021-07-18 00:00:00+00:00,0.0,0,IS,0.212541
2021-07-19 00:00:00+00:00,0.0,0,IS,0.212541
2021-07-20 00:00:00+00:00,1.463815,3,IS,1.676356
2021-07-21 00:00:00+00:00,-1.010558,1,IS,0.665798
2021-07-22 00:00:00+00:00,0.0,0,IS,0.665798
2021-07-23 00:00:00+00:00,6.974938,2,IS,7.640737
2021-07-24 00:00:00+00:00,0.0,0,IS,7.640737
2021-07-25 00:00:00+00:00,5.959918,3,IS,13.600655
2021-07-26 00:00:00+00:00,4.967782,4,IS,18.568437
2021-07-27 00:00:00+00:00,-1.006547,1,IS,17.56189
2021-07-28 00:00:00+00:00,0.0,0,IS,17.56189
2021-07-29 00:00:00+00:00,0.0,0,IS,17.56189
2021-07-30 00:00:00+00:00,-1.006345,1,IS,16.555545
2021-07-31 00:00:00+00:00,0.0,0,IS,16.555545
2021-08-01 00:00:00+00:00,-1.0074,1,IS,15.548145
2021-08-02 00:00:00+00:00,-1.008271,1,IS,14.539874
2021-08-03 00:00:00+00:00,0.0,0,IS,14.539874
2021-08-04 00:00:00+00:00,-1.007718,1,IS,13.532155
2021-08-05 00:00:00+00:00,-1.009955,1,IS,12.5222
2021-08-06 00:00:00+00:00,-3.020539,3,IS,9.501662
2021-08-07 00:00:00+00:00,1.476614,3,IS,10.978276
2021-08-08 00:00:00+00:00,0.0,0,IS,10.978276
2021-08-09 00:00:00+00:00,-1.007081,1,IS,9.971196
2021-08-10 00:00:00+00:00,0.0,0,IS,9.971196
2021-08-11 00:00:00+00:00,0.0,0,IS,9.971196
2021-08-12 00:00:00+00:00,-1.007665,1,IS,8.96353
2021-08-13 00:00:00+00:00,3.489252,1,IS,12.452783
2021-08-14 00:00:00+00:00,-2.026629,2,IS,10.426154
2021-08-15 00:00:00+00:00,0.0,0,IS,10.426154
2021-08-16 00:00:00+00:00,-1.010757,1,IS,9.415398
2021-08-17 00:00:00+00:00,0.0,0,IS,9.415398
2021-08-18 00:00:00+00:00,-1.009266,1,IS,8.406132
2021-08-19 00:00:00+00:00,0.0,0,IS,8.406132
2021-08-20 00:00:00+00:00,6.977119,2,IS,15.38325
2021-08-21 00:00:00+00:00,-3.035401,3,IS,12.347849
2021-08-22 00:00:00+00:00,0.0,0,IS,12.347849
2021-08-23 00:00:00+00:00,-1.012208,1,IS,11.335641
2021-08-24 00:00:00+00:00,0.0,0,IS,11.335641
2021-08-25 00:00:00+00:00,0.0,0,IS,11.335641
2021-08-26 00:00:00+00:00,-2.020617,2,IS,9.315024
2021-08-27 00:00:00+00:00,0.0,0,IS,9.315024
2021-08-28 00:00:00+00:00,-2.028639,2,IS,7.286385
2021-08-29 00:00:00+00:00,-1.015538,1,IS,6.270847
2021-08-30 00:00:00+00:00,0.0,0,IS,6.270847
2021-08-31 00:00:00+00:00,-1.012215,1,IS,5.258632
2021-09-01 00:00:00+00:00,-1.012328,1,IS,4.246305
2021-09-02 00:00:00+00:00,3.938316,5,IS,8.184621
2021-09-03 00:00:00+00:00,-2.021851,2,IS,6.16277
2021-09-04 00:00:00+00:00,0.0,0,IS,6.16277
2021-09-05 00:00:00+00:00,0.0,0,IS,6.16277
2021-09-06 00:00:00+00:00,-1.014841,1,IS,5.147929
2021-09-07 00:00:00+00:00,1.448282,3,IS,6.596212
2021-09-08 00:00:00+00:00,0.0,0,IS,6.596212
2021-09-09 00:00:00+00:00,0.0,0,IS,6.596212
2021-09-10 00:00:00+00:00,0.0,0,IS,6.596212
2021-09-11 00:00:00+00:00,0.94615,1,IS,7.542362
2021-09-12 00:00:00+00:00,0.0,0,IS,7.542362
2021-09-13 00:00:00+00:00,0.0,0,IS,7.542362
2021-09-14 00:00:00+00:00,0.0,0,IS,7.542362
2021-09-15 00:00:00+00:00,3.488998,1,IS,11.03136
2021-09-16 00:00:00+00:00,-2.025874,2,IS,9.005486
2021-09-17 00:00:00+00:00,0.0,0,IS,9.005486
2021-09-18 00:00:00+00:00,-1.013339,1,IS,7.992147
2021-09-19 00:00:00+00:00,0.0,0,IS,7.992147
2021-09-20 00:00:00+00:00,6.980279,2,IS,14.972426
2021-09-21 00:00:00+00:00,6.986979,2,IS,21.959405
2021-09-22 00:00:00+00:00,-1.005001,1,IS,20.954404
2021-09-23 00:00:00+00:00,0.0,0,IS,20.954404
2021-09-24 00:00:00+00:00,-2.016807,2,IS,18.937597
2021-09-25 00:00:00+00:00,0.0,0,IS,18.937597
2021-09-26 00:00:00+00:00,-1.009188,1,IS,17.928409
2021-09-27 00:00:00+00:00,-1.008309,1,IS,16.9201
2021-09-28 00:00:00+00:00,-2.017841,2,IS,14.90226
2021-09-29 00:00:00+00:00,0.0,0,IS,14.90226
2021-09-30 00:00:00+00:00,0.0,0,IS,14.90226
2021-10-01 00:00:00+00:00,9.459474,4,IS,24.361734
2021-10-02 00:00:00+00:00,0.0,0,IS,24.361734
2021-10-03 00:00:00+00:00,2.477952,2,IS,26.839686
2021-10-04 00:00:00+00:00,0.0,0,IS,26.839686
2021-10-05 00:00:00+00:00,5.968782,3,IS,32.808468
2021-10-06 00:00:00+00:00,0.458349,4,IS,33.266817
2021-10-07 00:00:00+00:00,-1.006809,1,IS,32.260008
2021-10-08 00:00:00+00:00,-1.010349,1,IS,31.249659
2021-10-09 00:00:00+00:00,-1.011346,1,IS,30.238313
2021-10-10 00:00:00+00:00,-1.0115,1,IS,29.226813
2021-10-11 00:00:00+00:00,2.479186,2,IS,31.705999
2021-10-12 00:00:00+00:00,-4.044377,4,IS,27.661621
2021-10-13 00:00:00+00:00,0.0,0,IS,27.661621
2021-10-14 00:00:00+00:00,0.0,0,IS,27.661621
2021-10-15 00:00:00+00:00,6.982919,2,IS,34.64454
2021-10-16 00:00:00+00:00,-1.008867,1,IS,33.635673
2021-10-17 00:00:00+00:00,0.0,0,IS,33.635673
2021-10-18 00:00:00+00:00,-1.009807,1,IS,32.625866
2021-10-19 00:00:00+00:00,-2.020183,2,IS,30.605683
2021-10-20 00:00:00+00:00,5.965411,3,IS,36.571094
2021-10-21 00:00:00+00:00,-2.020997,2,IS,34.550097
2021-10-22 00:00:00+00:00,0.0,0,IS,34.550097
2021-10-23 00:00:00+00:00,-1.007758,1,IS,33.542339
2021-10-24 00:00:00+00:00,0.0,0,IS,33.542339
2021-10-25 00:00:00+00:00,0.0,0,IS,33.542339
2021-10-26 00:00:00+00:00,0.0,0,IS,33.542339
2021-10-27 00:00:00+00:00,-2.020292,2,IS,31.522047
2021-10-28 00:00:00+00:00,-1.008998,1,IS,30.513049
2021-10-29 00:00:00+00:00,-1.00721,1,IS,29.50584
2021-10-30 00:00:00+00:00,-1.008573,1,IS,28.497267
2021-10-31 00:00:00+00:00,-2.026755,2,IS,26.470512
2021-11-01 00:00:00+00:00,-1.009028,1,IS,25.461484
2021-11-02 00:00:00+00:00,0.0,0,IS,25.461484
2021-11-03 00:00:00+00:00,-1.010504,1,IS,24.45098
2021-11-04 00:00:00+00:00,0.0,0,IS,24.45098
2021-11-05 00:00:00+00:00,0.0,0,IS,24.45098
2021-11-06 00:00:00+00:00,0.0,0,IS,24.45098
2021-11-07 00:00:00+00:00,0.0,0,IS,24.45098
2021-11-08 00:00:00+00:00,10.449965,3,IS,34.900945
2021-11-09 00:00:00+00:00,2.475194,2,IS,37.376139
2021-11-10 00:00:00+00:00,-1.010397,1,IS,36.365742
2021-11-11 00:00:00+00:00,0.0,0,IS,36.365742
2021-11-12 00:00:00+00:00,-1.009926,1,IS,35.355815
2021-11-13 00:00:00+00:00,0.0,0,IS,35.355815
2021-11-14 00:00:00+00:00,0.0,0,IS,35.355815
2021-11-15 00:00:00+00:00,0.0,0,IS,35.355815
2021-11-16 00:00:00+00:00,4.962827,4,IS,40.318643
2021-11-17 00:00:00+00:00,-1.007076,1,IS,39.311566
2021-11-18 00:00:00+00:00,0.0,0,IS,39.311566
2021-11-19 00:00:00+00:00,0.0,0,IS,39.311566
2021-11-20 00:00:00+00:00,-1.008025,1,IS,38.303542
2021-11-21 00:00:00+00:00,0.0,0,IS,38.303542
2021-11-22 00:00:00+00:00,-2.018211,2,IS,36.285331
2021-11-23 00:00:00+00:00,0.0,0,IS,36.285331
2021-11-24 00:00:00+00:00,0.0,0,IS,36.285331
2021-11-25 00:00:00+00:00,-1.012709,1,IS,35.272622
2021-11-26 00:00:00+00:00,2.473693,2,IS,37.746315
2021-11-27 00:00:00+00:00,0.0,0,IS,37.746315
2021-11-28 00:00:00+00:00,-1.008672,1,IS,36.737643
2021-11-29 00:00:00+00:00,0.0,0,IS,36.737643
2021-11-30 00:00:00+00:00,-2.020245,2,IS,34.717398
2021-12-01 00:00:00+00:00,-1.008914,1,IS,33.708484
2021-12-02 00:00:00+00:00,0.0,0,IS,33.708484
2021-12-03 00:00:00+00:00,3.490255,1,IS,37.198739
2021-12-04 00:00:00+00:00,4.978682,4,IS,42.177421
2021-12-05 00:00:00+00:00,0.0,0,IS,42.177421
2021-12-06 00:00:00+00:00,0.0,0,IS,42.177421
2021-12-07 00:00:00+00:00,0.0,0,IS,42.177421
2021-12-08 00:00:00+00:00,-1.009512,1,IS,41.167908
2021-12-09 00:00:00+00:00,0.0,0,IS,41.167908
2021-12-10 00:00:00+00:00,-2.015914,2,IS,39.151995
2021-12-11 00:00:00+00:00,0.0,0,IS,39.151995
2021-12-12 00:00:00+00:00,0.0,0,IS,39.151995
2021-12-13 00:00:00+00:00,-3.026999,3,IS,36.124995
2021-12-14 00:00:00+00:00,-1.007067,1,IS,35.117928
2021-12-15 00:00:00+00:00,0.0,0,IS,35.117928
2021-12-16 00:00:00+00:00,-1.010853,1,IS,34.107075
2021-12-17 00:00:00+00:00,2.479247,2,IS,36.586322
2021-12-18 00:00:00+00:00,0.0,0,IS,36.586322
2021-12-19 00:00:00+00:00,0.0,0,IS,36.586322
2021-12-20 00:00:00+00:00,0.0,0,IS,36.586322
2021-12-21 00:00:00+00:00,0.0,0,IS,36.586322
2021-12-22 00:00:00+00:00,0.0,0,IS,36.586322
2021-12-23 00:00:00+00:00,2.475778,2,IS,39.062101
2021-12-24 00:00:00+00:00,0.0,0,IS,39.062101
2021-12-25 00:00:00+00:00,-1.011792,1,IS,38.050309
2021-12-26 00:00:00+00:00,0.0,0,IS,38.050309
2021-12-27 00:00:00+00:00,2.470009,2,IS,40.520317
2021-12-28 00:00:00+00:00,3.488789,1,IS,44.009107
2021-12-29 00:00:00+00:00,3.490753,1,IS,47.49986
2021-12-30 00:00:00+00:00,-1.00881,1,IS,46.491051
2021-12-31 00:00:00+00:00,-1.008937,1,IS,45.482114
2022-01-01 00:00:00+00:00,0.0,0,IS,45.482114
2022-01-02 00:00:00+00:00,0.0,0,IS,45.482114
2022-01-03 00:00:00+00:00,-1.012755,1,IS,44.469359
2022-01-04 00:00:00+00:00,0.0,0,IS,44.469359
2022-01-05 00:00:00+00:00,0.0,0,IS,44.469359
2022-01-06 00:00:00+00:00,0.0,0,IS,44.469359
2022-01-07 00:00:00+00:00,2.483426,2,IS,46.952785
2022-01-08 00:00:00+00:00,-1.010199,1,IS,45.942586
2022-01-09 00:00:00+00:00,0.0,0,IS,45.942586
2022-01-10 00:00:00+00:00,-1.012262,1,IS,44.930323
2022-01-11 00:00:00+00:00,0.0,0,IS,44.930323
2022-01-12 00:00:00+00:00,3.487139,1,IS,48.417463
2022-01-13 00:00:00+00:00,-2.026829,2,IS,46.390634
2022-01-14 00:00:00+00:00,0.0,0,IS,46.390634
2022-01-15 00:00:00+00:00,0.0,0,IS,46.390634
2022-01-16 00:00:00+00:00,-1.014711,1,IS,45.375922
2022-01-17 00:00:00+00:00,0.0,0,IS,45.375922
2022-01-18 00:00:00+00:00,2.468828,2,IS,47.844751
2022-01-19 00:00:00+00:00,0.0,0,IS,47.844751
2022-01-20 00:00:00+00:00,-1.014948,1,IS,46.829802
2022-01-21 00:00:00+00:00,5.978813,3,IS,52.808615
2022-01-22 00:00:00+00:00,2.490368,2,IS,55.298983
2022-01-23 00:00:00+00:00,-1.004542,1,IS,54.294441
2022-01-24 00:00:00+00:00,-1.005919,1,IS,53.288522
2022-01-25 00:00:00+00:00,0.0,0,IS,53.288522
2022-01-26 00:00:00+00:00,-1.007746,1,IS,52.280776
2022-01-27 00:00:00+00:00,0.0,0,IS,52.280776
2022-01-28 00:00:00+00:00,0.0,0,IS,52.280776
2022-01-29 00:00:00+00:00,0.0,0,IS,52.280776
2022-01-30 00:00:00+00:00,0.0,0,IS,52.280776
2022-01-31 00:00:00+00:00,-1.007863,1,IS,51.272913
2022-02-01 00:00:00+00:00,0.0,0,IS,51.272913
