date,R,trades,sample,cum_R
2023-04-26 00:00:00+00:00,-1.011236,1,OOS,-1.011236
2023-04-27 00:00:00+00:00,-1.007967,1,OOS,-2.019203
2023-04-28 00:00:00+00:00,0.0,0,OOS,-2.019203
2023-04-29 00:00:00+00:00,-1.02037,1,OOS,-3.039573
2023-04-30 00:00:00+00:00,0.0,0,OOS,-3.039573
2023-05-01 00:00:00+00:00,-2.025891,2,OOS,-5.065464
2023-05-02 00:00:00+00:00,-1.014271,1,OOS,-6.079736
2023-05-03 00:00:00+00:00,0.0,0,OOS,-6.079736
2023-05-04 00:00:00+00:00,-1.01208,1,OOS,-7.091816
2023-05-05 00:00:00+00:00,1.452157,3,OOS,-5.639659
2023-05-06 00:00:00+00:00,1.462621,3,OOS,-4.177038
2023-05-07 00:00:00+00:00,-1.014457,1,OOS,-5.191495
2023-05-08 00:00:00+00:00,2.477677,2,OOS,-2.713818
2023-05-09 00:00:00+00:00,0.0,0,OOS,-2.713818
2023-05-10 00:00:00+00:00,0.0,0,OOS,-2.713818
2023-05-11 00:00:00+00:00,-1.011162,1,OOS,-3.72498
2023-05-12 00:00:00+00:00,-1.010765,1,OOS,-4.735745
2023-05-13 00:00:00+00:00,0.0,0,OOS,-4.735745
2023-05-14 00:00:00+00:00,0.0,0,OOS,-4.735745
2023-05-15 00:00:00+00:00,-2.032316,2,OOS,-6.768062
2023-05-16 00:00:00+00:00,0.0,0,OOS,-6.768062
2023-05-17 00:00:00+00:00,-1.018874,1,OOS,-7.786935
2023-05-18 00:00:00+00:00,-1.015852,1,OOS,-8.802788
2023-05-19 00:00:00+00:00,0.0,0,OOS,-8.802788
2023-05-20 00:00:00+00:00,-2.06686,2,OOS,-10.869647
2023-05-21 00:00:00+00:00,-1.029336,1,OOS,-11.898984
2023-05-22 00:00:00+00:00,-3.079129,3,OOS,-14.978113
2023-05-23 00:00:00+00:00,0.424071,4,OOS,-14.554042
2023-05-24 00:00:00+00:00,1.448819,3,OOS,-13.105223
2023-05-25 00:00:00+00:00,-1.01313,1,OOS,-14.118353
2023-05-26 00:00:00+00:00,0.0,0,OOS,-14.118353
2023-05-27 00:00:00+00:00,-1.021347,1,OOS,-15.139699
2023-05-28 00:00:00+00:00,0.0,0,OOS,-15.139699
2023-05-29 00:00:00+00:00,-3.050315,3,OOS,-18.190014
2023-05-30 00:00:00+00:00,0.0,0,OOS,-18.190014
2023-05-31 00:00:00+00:00,-1.018916,1,OOS,-19.208931
2023-06-01 00:00:00+00:00,0.0,0,OOS,-19.208931
